Character,File Numbers
々,"{0, 4, 10, 11, 13, 17, 36, 41, 43, 44, 46, 54, 55, 57, 68, 69, 74, 90, 91}"
5,"{0, 3, 38, 39, 53, 58, 64}"
3,"{0, 4, 16, 19, 21, 26, 43, 53, 81}"
　,"{3, 6, 7, 9, 16, 19, 20, 23, 27, 28, 30, 32, 33, 34, 36, 38, 43, 44, 45, 46, 50, 62, 63, 66, 68, 76, 77, 80, 82, 86, 88, 89}"
6,{3}
1,"{4, 6, 9, 19, 21, 26, 39, 53, 58, 59, 64, 81, 86}"
2,"{4, 7, 15, 18, 19, 21, 26, 28, 29, 53, 54, 81}"
﨑,{5}
１,{5}
0,"{6, 39, 58, 64, 71}"
7,"{7, 15, 18, 21, 28, 29}"
～,"{12, 21, 36, 46, 50, 54, 79, 85}"
３,"{12, 30}"
♫,{13}
∞,{14}
×,"{14, 19, 44, 57, 90}"
4,"{21, 38, 53, 71}"
❤,"{21, 85}"
🌊,{21}
=,{21}
─,"{31, 70}"
⼊,{40}
⼝,{40}
⼿,{40}
⾒,{40}
⽣,{40}
⽉,{40}
＾,{42}
ﾁ,{44}
ｮ,{44}
ﾒ,{44}
~,"{46, 60}"
♪,"{50, 77}"
👏,{53}
α,"{66, 87}"
ä,{69}
☆,{77}
０,{83}
★,{84}
ﾞ,{85}
ε,{87}
κ,{87}
λ,{87}
ό,{87}
γ,{87}
ο,{87}
υ,{87}
ά,{87}
ς,{87}
β,{87}
ί,{87}
ν,{87}
ι,{87}
δ,{87}
έ,{87}
μ,{87}
ύ,{87}
